Hon Abdul Haro Ibrahim, Mandera South Constituency
Hon Adams Kipsanai, Keiyo North Constituency
Hon Adan Keynan, Eldas Constituency
Hon Adow Mohamed, Wajir South Constituency
Hon Alice Ng’ang’a, Thika Town Constituency
Hon Alpha Miruka, Bomachoge Chache Constituency
Hon Amina Dika, Women Rep Tana River County
Hon Aramat Lemanken, Narok East Constituency
Hon Bartoo Phyllis, Moiben Constituency
Hon Bare Hussein Abdi, Tarbaj Constituency
Hon Baro Dekow, Garissa Township Constituency
Hon Beatrice Adagala, Women Rep Vihiga County
Hon Beatrice Kemei, Women Rep Kericho County
Hon Benjamin Kipkirui, Ainamoi Constituency
Hon Bernard Muriuki, Mbeere South Constituency
Hon Bernard Shinali, Ikolomani Constituency
Hon Betty Maina, Woman Rep Murang’a County
Hon Byego Paul Kibichii, Chesumei Constituency
Hon Caleb Mule, Machakos Town Constituency
Hon Caroli Omondi, Suba South Constituency
Hon Catherine Wambilianga, Women Rep Bungoma County
Hon Charity Kathambi, Njoro Constituency
Hon Chege Njuguna, Kandara Constituency
Hon Cherorot Joseph, Kipkelion East Constituency
Hon Chiforomodo Mangale, Lunga Lunga Constituency
Hon Christopher Aseka, Khwisero Constituency
Hon Cynthia Muge, Women Rep Nandi County
Hon Daniel Nanok, Turkana West Constituency
Hon Daniel Wanyama, Webuye West Constituency
Hon David Bowen, Marakwet East Constituency
Hon David Gikaria, Nakuru Town East Constituency
Hon David Kiplagat, Soy Constituency
Hon David Pkosing, Pokot South Constituency
Hon Didmus Barasa, Kimilili Constituency
Hon Dido Rasso, Saku Constituency
Hon Duncan Mathenge, Nyeri Town Constituency
Hon Edward Wakili, Gatanga Constituency
Hon Elizabeth Kailemia, Women Rep Meru County
Hon Emmanuel Wangwe, Navakholo Constituency
Hon Ernest Kivai Kagesi, Vihiga Constituency
Hon Eric Karemba, Runyenjes Constituency
Hon Eric Mwangi Kahugu, Mathira Constituency
Hon Fabian Kyule, Kangundo Constituency
Hon Faith Gitau, Women Rep Nyandarua County
Hon Farah Maalim, Dadaab Constituency
Hon Feisal Bader, Msambweni Constituency
Hon Ferdinand Wanyonyi, Kwanza Constituency
Hon Florence Jematia, Women Rep Baringo County
Hon Fred Kapondi, Mt Elgon Constituency
Hon Fredrick Ikana, Shinyalu Constituency
Hon Gabriel Tongoyo, Narok West Constituency
Hon Geoffrey Kariuki, Mbeere North Constituency
Hon George Gachagua, Ndaragwa Constituency
Hon George Murugara, Tharaka Constituency
Hon Gladys Shollei, Women Rep Uasin Gishu County
Hon Gonzi Rai, Kinango Constituency
Hon Gideon Kimaiyo, Keiyo South Constituency
Hon Gideon Ochanda, Bondo Constituency
Hon GK Kariuki, Ndia Constituency
Hon Guyo Adhe, North Horr Constituency
Hon Guyo Ali Wario, Garsen Constituency
Hon Harun Suleka, Nominated MP
Hon Hillary Kosgei, Kipkelion West Constituency
Hon Ikiara Dorothy, Nominated MP
Hon Japheth Nyakundi, Kitutu Chache Constituency
Hon Jayne Kihara, Naivasha Constituency
Hon Jeptoo Caroline Ngelechei, Women Rep Elgeyo Marakwet County
Hon Jerusha Momanyi, Nyamira Constituency
Hon Johana Ngeno, Emurua Dikir Constituency
Hon John Bwire, Taveta Constituency
Hon John Chikati, Tongaren Constituency
Hon John Chege Kiragu, Limuru Constituency
Hon John Kiarie, Dagoretti South Constituency
Hon John Kawanjiku, Kiambaa Constituency
Hon John Makali, Kanduyi Constituency
Hon John Mutunga, Tigania West Constituency
Hon John Paul Mwirigi, Igembe South Constituency
Hon John Waluke, Sirisia Constituency
Hon Johnson Naicca, Mumias West Constituency
Hon Joseph Gitari, Kirinyaga Central Constituency
Hon Joseph Hamisi, Nominated MP
Hon Joseph Lekuton, Laisamis Constituency
Hon Joseph Munyoro, Kigumo Constituency
Hon Joseph Namuar, Turkana Central Constituency
Hon Joseph Tonui, Kuresoi South Constituency
Hon Joshua Kandie, Baringo Central Constituency
Hon Julius Melly, Tinderet Constituency
Hon Julius Ruto, Kesses Constituency
Hon Julius Taitumu, Igembe North Constituency
Hon Kaguchia John, Mukurwe-ini Constituency
Hon Kahangara Joseph, Lari Constituency
Hon Kareke Mbiuki, Maara Constituency
Hon Kassim Sawa, Matuga Constituency
Hon Kimani Ichung’wah, Kikuyu Constituency
Hon Kipchumba Toroitich, Marakwet West Constituency
Hon Kipkoros Makilap, Baringo North Constituency
Hon Kirima Nguchine, Central Imenti Constituency
Hon Komingoi Kibet, Bureti Constituency
Hon Kibet Jebor, Rongai Constituency
Hon Kiborek Reuben, Mogotio Constituency
Hon Kiaraho David, Ol Kalou Constituency
Hon Kuria Kimani, Molo Constituency
Hon Kururia Njoroge, Gatundu North Constituency
Hon Kwenya Thuku, Kinangop Constituency
Hon Lelemengit Josses, Emgwen Constituency
Hon Lekumontare Jackson, Samburu East Constituency
Hon Letipila Dominic, Samburu North Constituency
Hon Leah Sankaire, Women Rep Kajiado County
Hon Linet Chepkorir, Women Rep Bomet County
Hon Lilian Siyoi, Women Rep Trans Nzoia County
Hon Liza Chelule, Women Rep Nakuru County
Hon Malulu Injendi, Malava Constituency
Hon Marianne Kitany, Aldai Constituency
Hon Martin Pepela, Webuye East Constituency
Hon Mary Emaase, Teso South Constituency
Hon Mary Maingi, Mwea Constituency
Hon Mathias Robi, Kuria West
Hon Memusi Kanchory, Kajiado Central Constituency
Hon Michael Muchira, Ol Joro Orok
